year,state,avg_wg,wg_diff
1985,CO,7.1311698533535219,0.00011849344767789205
1986,CO,7.13807389030968,0.0069040369561577108
1987,CO,7.1330052072367565,-0.0050686830729231858
1988,CO,7.14228344315832,0.0092782359215632937
1989,CO,7.1364277998182182,-0.0058556433401015795
1990,CO,7.1144578568214474,-0.021969942996770797
1991,CO,7.1101822756531208,-0.0042755811683266032
1992,CO,7.0995841500113075,-0.010598125641813283
1993,CO,7.0955283775421627,-0.0040557724691447916
1994,CO,7.0931217678248126,-0.0024066097173500722
1995,CO,7.0963406244562535,0.0032188566314408362
1996,CO,7.0828810053871383,-0.013459619069115192
1997,CO,7.0780855053606846,-0.0047955000264536807
1998,CO,7.0844031049625578,0.0063175996018731695
1999,CO,7.0896079775908634,0.0052048726283056013
2000,CO,7.1040685916252517,0.014460614034388364
2001,CO,7.07698146619656,-0.027087125428691294
2002,CO,7.064023724314203,-0.012957741882357432
2003,CO,7.0469286578428774,-0.017095066471325637
2004,CO,7.0341759502067776,-0.012752707636099814
1969,CT,7.1480855189013051,
1970,CT,7.1884547408067458,0.040369221905440789
1971,CT,7.2088138469793357,0.020359106172589847
1972,CT,7.225124558286204,0.016310711306868342
1973,CT,7.2666810207766295,0.041556462490425439
1974,CT,7.2904886914657334,0.023807670689103944
1975,CT,7.2785507285782929,-0.011937962887440534
1976,CT,7.2925418946644971,0.01399116608620421
1977,CT,7.3218666844877829,0.029324789823285791
1978,CT,7.3297767143822847,0.0079100298945018466
1979,CT,7.3199144408801136,-0.00986227350217117
1980,CT,7.3655147357835871,0.045600294903473504
1981,CT,7.3543104914563147,-0.011204244327272406
1982,CT,7.36954254922722,0.015232057770905527
1983,CT,7.37625641499088,0.006713865763659399
1984,CT,7.398196906729587,0.021940491738707379
1985,CT,7.4039513862485888,0.005754479519001876
1986,CT,7.4169179232038918,0.012966536955302921
1987,CT,7.4140295219768033,-0.002888401227088444
1988,CT,7.409860371255097,-0.0041691507217063162
1989,CT,7.3821635977683808,-0.027696773486716175
1990,CT,7.4092105501586314,0.027046952390250567
1991,CT,7.3812313270099059,-0.027979223148725474
1992,CT,7.4094519757578823,0.028220648747976362
1993,CT,7.4018499530664021,-0.007602022691480137
1994,CT,7.4038227776820893,0.0019728246156871521
1995,CT,7.3882753920462232,-0.015547385635866107
